ID_Soporte;ITEM;EWP;CWP;CWA;PWP;ID_LINEA;ID_ISO;CLASE;ID_TipoSoporte;DIAM.;CANTIDAD;UNIDAD;PESO_TOTAL;UNIDAD2;SUMINISTRO;OBSERV.;;
"192_SA-10, ABRAZADERA ESTANDAR_6""";192;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"6""";1;un;-;kg;Contratista;;;
"193_SA-10, ABRAZADERA ESTANDAR_8""";193;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"194_SA-10, ABRAZADERA ESTANDAR_8""";194;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"195_SA-10, ABRAZADERA ESTANDAR_8""";195;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"196_SA-10, ABRAZADERA ESTANDAR_8""";196;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"197_SA-10, ABRAZADERA ESTANDAR_8""";197;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"198_SA-10, ABRAZADERA ESTANDAR_8""";198;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"199_SA-10, ABRAZADERA ESTANDAR_8""";199;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"200_SA-10, ABRAZADERA ESTANDAR_8""";200;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"201_SA-10, ABRAZADERA ESTANDAR_8""";201;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"202_SA-10, ABRAZADERA ESTANDAR_8""";202;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"203_SA-10, ABRAZADERA ESTANDAR_8""";203;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"204_SA-10, ABRAZADERA ESTANDAR_8""";204;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"205_SA-10, ABRAZADERA ESTANDAR_8""";205;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"206_SA-10, ABRAZADERA ESTANDAR_8""";206;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"207_SA-10, ABRAZADERA ESTANDAR_8""";207;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"208_SA-10, ABRAZADERA ESTANDAR_8""";208;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"209_SA-10, ABRAZADERA ESTANDAR_8""";209;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"210_SA-10, ABRAZADERA ESTANDAR_8""";210;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"211_SA-10, ABRAZADERA ESTANDAR_8""";211;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"212_SA-10, ABRAZADERA ESTANDAR_8""";212;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"153_PU-01, PERNO U LARGO_3""";153;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0012-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"149_PU-01, PERNO U LARGO_3""";149;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0062-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
"135_PU-01, PERNO U LARGO_3""";135;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;"03351-CT-3""-C2-0063-N";;C2;PU-01, PERNO U LARGO;"3""";1;un;-;kg;Contratista;;;
